[2016-05-26 21:22:08,446][classify][INFO]: read test images
[2016-05-26 21:23:24,951][classify][INFO]: read 7972 images from 79726
[2016-05-26 21:24:39,832][classify][INFO]: read 15944 images from 79726
[2016-05-26 21:25:54,452][classify][INFO]: read 23916 images from 79726
[2016-05-26 21:27:09,493][classify][INFO]: read 31888 images from 79726
[2016-05-26 21:28:24,201][classify][INFO]: read 39860 images from 79726
[2016-05-26 21:29:38,966][classify][INFO]: read 47832 images from 79726
[2016-05-26 21:30:52,997][classify][INFO]: read 55804 images from 79726
[2016-05-26 21:32:06,630][classify][INFO]: read 63776 images from 79726
[2016-05-26 21:33:20,702][classify][INFO]: read 71748 images from 79726
[2016-05-26 21:34:35,448][classify][INFO]: read 79720 images from 79726
