[2016-05-24 22:34:32,240][classify][INFO]: read test images
[2016-05-24 22:35:48,920][classify][INFO]: read 7972 images from 79726
[2016-05-24 22:37:03,908][classify][INFO]: read 15944 images from 79726
[2016-05-24 22:38:18,345][classify][INFO]: read 23916 images from 79726
[2016-05-24 22:39:32,886][classify][INFO]: read 31888 images from 79726
[2016-05-24 22:40:47,761][classify][INFO]: read 39860 images from 79726
[2016-05-24 22:42:02,193][classify][INFO]: read 47832 images from 79726
[2016-05-24 22:43:16,499][classify][INFO]: read 55804 images from 79726
[2016-05-24 22:44:30,949][classify][INFO]: read 63776 images from 79726
[2016-05-24 22:45:45,187][classify][INFO]: read 71748 images from 79726
[2016-05-24 22:47:01,191][classify][INFO]: read 79720 images from 79726
[2016-05-24 22:48:06,193][classify][INFO]: read test images
[2016-05-24 22:48:13,499][classify][INFO]: read 7972 images from 79726
[2016-05-24 22:48:20,675][classify][INFO]: read 15944 images from 79726
[2016-05-24 22:48:27,863][classify][INFO]: read 23916 images from 79726
[2016-05-24 22:48:35,028][classify][INFO]: read 31888 images from 79726
[2016-05-24 22:48:42,191][classify][INFO]: read 39860 images from 79726
[2016-05-24 22:48:49,358][classify][INFO]: read 47832 images from 79726
[2016-05-24 22:48:56,534][classify][INFO]: read 55804 images from 79726
[2016-05-24 22:49:03,697][classify][INFO]: read 63776 images from 79726
[2016-05-24 22:49:10,875][classify][INFO]: read 71748 images from 79726
[2016-05-24 22:49:18,030][classify][INFO]: read 79720 images from 79726
